Name;ID_Image;Upper;Lower;Footwear;Accesory
OHSU6;OHSU6.png;Camisa de lino;Shorts beige;Sandalias Birkenstock;Sombrero Fedora
OHSU7;OHSU7.png;Tank top rayado;Shorts denim;Converse blancas;Gafas oscuras
OHSU8;OHSU8.png;Camisa de lino;Pantalón ligero;Vans slip-on;Tote bag
OHSU9;OHSU9.png;Camiseta estampada;Shorts beige;Vans slip-on;Pulsera de hilo
OHSU10;OHSU10.png;Camisa de lino;Shorts beige;Sandalias Birkenstock;Gorra retro
OHCU1;OHCU1.png;Tank top rayado;Shorts de lino;Sandalias;Gafas oscuras
OHCU2;OHCU2.png;Camiseta estampada;Shorts denim;Vans slip-on;Gorra retro
OHCU3;OHCU3.png;Camisa sin mangas;Shorts beige;Converse blancas;Pulsera de hilo
OHCU4;OHCU4.png;Tank top rayado;Shorts de lino;Sandalias;Sombrero Fedora
OHCU5;OHCU5.png;Camiseta estampada;Shorts beige;Vans slip-on;Tote bag
OHCU6;OHCU6.png;Camisa sin mangas;Shorts denim;Sandalias;Lentes redondos
OHCU7;OHCU7.png;Tank top rayado;Shorts beige;Converse blancas;Pulsera de hilo
OHCU8;OHCU8.png;Camiseta estampada;Shorts de lino;Vans slip-on;Gafas oscuras
OHCU9;OHCU9.png;Camisa sin mangas;Shorts de lino;Sandalias;Gorra retro
OHCU10;OHCU10.png;Tank top rayado;Shorts denim;Converse blancas;Sombrero F+A31:F41edora
OHFT1;OHFT1.png;camisa de franela;jeans rotos;zapatos derby;bufanda gruesa
OHFT2;OHFT2.png;camiseta con estampado vintage;pantalón de pana;botines;reloj clásico
OHFT3;OHFT3.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;anillos grandes
OHFT4;OHFT4.png;suéter oversized;pantalón entallado;tenis retro;lentes de pasta
OHFT5;OHFT5.png;camisa de franela;jeans rotos;zapatos derby;sombrero fedora
OHFT6;OHFT6.png;camiseta con estampado vintage;pantalón de pana;botines;mochila de lona
OHFT7;OHFT7.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;bufanda gruesa
OHFT8;OHFT8.png;suéter oversized;pantalón entallado;tenis retro;reloj clásico
OHFT9;OHFT9.png;camisa de franela;jeans rotos;zapatos derby;anillos grandes
OHFT10;OHFT10.png;camiseta con estampado vintage;pantalón de pana;botines;lentes de pasta
OHTT1;OHTT1.png;camisa de franela;jeans rotos;zapatos derby;bufanda gruesa
OHTT2;OHTT2.png;camiseta con estampado vintage;pantalón de pana;botines;reloj clásico
OHTT3;OHTT3.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;anillos grandes
OHTT4;OHTT4.png;suéter oversized;pantalón entallado;tenis retro;lentes de pasta
OHTT5;OHTT5.png;camisa de franela;jeans rotos;zapatos derby;sombrero fedora
OHTT6;OHTT6.png;camiseta con estampado vintage;pantalón de pana;botines;mochila de lona
OHTT7;OHTT7.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;bufanda gruesa
OHTT8;OHTT8.png;suéter oversized;pantalón entallado;tenis retro;reloj clásico
OHTT9;OHTT9.png;camisa de franela;jeans rotos;zapatos derby;anillos grandes
OHTT10;OHTT10.png;camiseta con estampado vintage;pantalón de pana;botines;lentes de pasta
OHST1;OHST1.png;camisa de franela;jeans rotos;zapatos derby;bufanda gruesa
OHST2;OHST2.png;camiseta con estampado vintage;pantalón de pana;botines;reloj clásico
OHST3;OHST3.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;anillos grandes
OHST4;OHST4.png;suéter oversized;pantalón entallado;tenis retro;lentes de pasta
OHST5;OHST5.png;camisa de franela;jeans rotos;zapatos derby;sombrero fedora
OHST6;OHST6.png;camiseta con estampado vintage;pantalón de pana;botines;mochila de lona
OHST7;OHST7.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;bufanda gruesa
OHST8;OHST8.png;suéter oversized;pantalón entallado;tenis retro;reloj clásico
OHST9;OHST9.png;camisa de franela;jeans rotos;zapatos derby;anillos grandes
OHST10;OHST10.png;camiseta con estampado vintage;pantalón de pana;botines;lentes de pasta
OHCT1;OHCT1.png;camisa de franela;jeans rotos;zapatos derby;bufanda gruesa
OHCT2;OHCT2.png;camiseta con estampado vintage;pantalón de pana;botines;reloj clásico
OHCT3;OHCT3.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;anillos grandes
OHCT4;OHCT4.png;suéter oversized;pantalón entallado;tenis retro;lentes de pasta
OHCT5;OHCT5.png;camisa de franela;jeans rotos;zapatos derby;sombrero fedora
OHCT6;OHCT6.png;camiseta con estampado vintage;pantalón de pana;botines;mochila de lona
OHCT7;OHCT7.png;camisa de mezclilla;pantalón de vestir alternativo;botas de cuero;bufanda gruesa
OHCT8;OHCT8.png;suéter oversized;pantalón entallado;tenis retro;reloj clásico
OHCT9;OHCT9.png;camisa de franela;jeans rotos;zapatos derby;anillos grandes
OHCT10;OHCT10.png;camiseta con estampado vintage;pantalón de pana;botines;lentes de pasta
OHFF1;OHFF1.png;Suéter de lana estampado;Jeans ajustados negros;Botines de cuero;Gorro de lana
OHFF2;OHFF2.png;Camisa de franela roja;Pantalón de terciopelo;Botas Dr. Martens;Bufanda gruesa
OHFF3;OHFF3.png;Blazer tweed;Jeans rotos;Zapatos derby;Lentes redondos
OHFF4;OHFF4.png;Suéter oversized gris;Falda de cuero;Botines de cuero;Collar llamativo
OHFF5;OHFF5.png;Camisa de mezclilla;Pantalón negro ajustado;Botas Dr. Martens;Sombrero fedora
OHFF6;OHFF6.png;Cardigan mostaza;Jeans ajustados negros;Zapatos derby;Pulseras de metal
OHFF7;OHFF7.png;Suéter de lana estampado;Falda midi de lana;Botines de cuero;Guantes tejidos
OHFF8;OHFF8.png;Blazer tweed;Pantalón de terciopelo;Botas Dr. Martens;Corbata vintage
OHFF9;OHFF9.png;Camisa de franela roja;Jeans rotos;Zapatos derby;Anillos grandes
OHFF10;OHFF10.png;Suéter oversized gris;Jeans ajustados negros;Botines de cuero;Gafas oscuras
OHTF1;OHTF1.png;Camisa de franela;Jeans rotos;Zapatos derby;Bufanda gruesa
OHTF2;OHTF2.png;Camiseta estampada;Pantalón de pana;Botines;Reloj clásico
OHTF3;OHTF3.png;Camisa de mezclilla;Pantalón de vestir;Botas de cuero;Anillos grandes
OHTF4;OHTF4.png;Suéter oversized;Pantalón entallado;Tenis retro;Lentes de pasta
OHTF5;OHTF5.png;Camisa de franela;Jeans rotos;Zapatos derby;Sombrero fedora
OHTF6;OHTF6.png;Camiseta estampada;Pantalón de pana;Botines;Mochila de lona
OHTF7;OHTF7.png;Camisa de mezclilla;Pantalón de vestir;Botas de cuero;Bufanda gruesa
OHTF8;OHTF8.png;Suéter oversized;Pantalón entallado;Tenis retro;Reloj clásico
OHTF9;OHTF9.png;Camisa de franela;Jeans rotos;Zapatos derby;Anillos grandes
OHTF10;OHTF10.png;Camiseta estampada;Pantalón de pana;Botines;Lentes de pasta
OHSF1;OHSF1.png;Camisa de lino estampada;Shorts de mezclilla;Mocasines;Gafas de sol
OHSF2;OHSF2.png;Polo vintage;Pantalón chino claro;Zapatos loafers;Reloj de madera
OHSF3;OHSF3.png;Camiseta gráfica;Bermuda a cuadros;Sandalias trendy;Pulseras de cuero
OHSF4;OHSF4.png;Camisa abierta de lino;Shorts negros;Zapatos derby;Sombrero panamá
OHSF5;OHSF5.png;Polo vintage;Bermuda a cuadros;Mocasines;Collar de cuentas
OHSF6;OHSF6.png;Camisa de lino estampada;Pantalón chino claro;Zapatos loafers;Gafas de sol
OHSF7;OHSF7.png;Camiseta gráfica;Shorts negros;Sandalias trendy;Pulseras de cuero
OHSF8;OHSF8.png;Camisa abierta de lino;Bermuda a cuadros;Zapatos derby;Reloj de madera
OHSF9;OHSF9.png;Polo vintage;Shorts de mezclilla;Mocasines;Sombrero panamá
OHSF10;OHSF10.png;Camisa de lino estampada;Bermuda a cuadros;Zapatos loafers;Collar de cuentas
OHCF1;OHCF1.png;Camisa hawaiana;Shorts de lino;Sandalias;Gafas de sol
OHCF2;OHCF2.png;Tank top rayado;Bermuda de lino;Alpargatas;Sombrero de paja
OHCF3;OHCF3.png;Camiseta sin mangas;Shorts denim;Mocasines;Pulseras tejidas
OHCF4;OHCF4.png;Camisa abierta ligera;Shorts de lino;Sandalias;Collar de semillas
OHCF5;OHCF5.png;Tank top rayado;Bermuda de lino;Alpargatas;Gafas de sol
OHCF6;OHCF6.png;Camisa hawaiana;Shorts denim;Mocasines;Sombrero de paja
OHCF7;OHCF7.png;Camiseta sin mangas;Shorts de lino;Sandalias;Pulseras tejidas
OHCF8;OHCF8.png;Camisa abierta ligera;Bermuda de lino;Alpargatas;Collar de semillas
OHCF9;OHCF9.png;Tank top rayado;Shorts denim;Mocasines;Gafas de sol
OHCF10;OHCF10.png;Camisa hawaiana;Bermuda de lino;Sandalias;Sombrero de paja
