Name;ID_Image;Upper;Lower;Footwear;Accesory
OVSF10;OVSF10.png;Tank top retro;Bermuda a cuadros;Alpargatas;Sombrero panamá
OVCF1;OVCF1.png;Camisa hawaiana;Shorts de lino;Sandalias;Gafas de sol
OVCF2;OVCF2.png;Tank top rayado;Bermuda de lino;Alpargatas;Sombrero de paja
OVCF3;OVCF3.png;Camiseta sin mangas;Shorts denim;Mocasines;Collar de semillas
OVCF4;OVCF4.png;Camisa abierta ligera;Bermuda de lino;Sandalias;Pulseras de colores
OVCF5;OVCF5.png;Tank top rayado;Shorts de lino;Alpargatas;Gafas de sol
OVCF6;OVCF6.png;Camisa hawaiana;Bermuda de lino;Mocasines;Sombrero de paja
OVCF7;OVCF7.png;Camiseta sin mangas;Shorts denim;Sandalias;Collar de semillas
OVCF8;OVCF8.png;Camisa abierta ligera;Shorts de lino;Alpargatas;Pulseras de colores
OVCF9;OVCF9.png;Tank top rayado;Bermuda de lino;Sandalias;Gafas de sol
OVCF10;OVCF10.png;Camisa hawaiana;Shorts denim;Mocasines;Sombrero de paja
